고객주소블록코드(BLOCK_CD),기준년월(YM),서울시민업종코드(UPJONG_CD),성별(GENDER),연령대별(AGE),카드이용건수계(USECT_CORR),카드이용금액계(AMT_CORR)
153611,201901,SS064,M,50대,5,1058400
14239,201901,SS090,F,50대,5,2822400
225872,201901,SS069,M,30대,60,1948141
158041,201901,SS041,M,60대,5,146160
360829,201901,SS066,M,50대,45,2787886
232491,201901,SS007,F,30대,126,902664
17013,201901,SS055,F,60대,5,21168
412571,201901,SS034,M,40대,5,40320
225860,201901,SS040,F,30대,116,1008907
416595,201901,SS021,F,50대,5,297360
229501,201901,SS006,M,70대이상,10,83160
365472,201901,SS055,F,40대,25,341712
207539,201901,SS013,F,20대,25,695621
420277,201901,SS012,F,70대이상,5,332640
362776,201901,SS013,M,70대이상,40,778730
409974,201901,SS049,F,40대,10,152309
60514,201901,SS092,F,30대,5,756000
213862,201901,SS019,M,50대,5,635040
411546,201901,SS007,M,20대,30,373464
231383,201901,SS001,M,40대,55,1373400
232718,201901,SS013,M,60대,333,4822776
220910,201901,SS057,M,40대,5,43848
355122,201901,SS001,F,50대,141,3990672
153293,201901,SS048,F,50대,25,1172405
418630,201901,SS049,F,40대,10,176400
22604,201901,SS003,F,30대,15,824040
339180,201901,SS049,M,40대,5,6504775
282784,201901,SS012,F,20대,5,76608
210330,201901,SS020,F,50대,15,74088
165832,201901,SS058,F,50대,10,161784
410772,201901,SS032,M,30대,20,1851192
216468,201901,SS041,M,70대이상,5,443520
153078,201901,SS006,M,50대,20,77112
156412,201901,SS070,F,40대,15,1143878
227820,201901,SS015,F,60대,10,97524
366841,201901,SS057,F,30대,10,1740816
363649,201901,SS002,M,20대,10,1537200
16695,201901,SS068,F,30대,20,758621
212398,201901,SS040,F,30대,5,219240
223277,201901,SS008,M,30대,121,1043280
15793,201901,SS040,F,40대,10,322056
214956,201901,SS036,F,20대,5,151200
355704,201901,SS041,F,40대,55,3211488
282979,201901,SS058,M,60대,20,434952
16089,201901,SS015,F,40대,15,1119888
12990,201901,SS012,M,30대,86,1980216
361913,201901,SS019,F,50대,15,594720
216001,201901,SS012,M,60대,5,240408
21527,201901,SS060,F,50대,5,30240
8373,201901,SS028,F,30대,10,201600
208227,201901,SS066,M,30대,15,463680
366755,201901,SS058,F,50대,25,596232
230626,201901,SS001,M,20대,5,75600
152744,201901,SS021,M,50대,15,787752
343856,201901,SS030,M,30대,40,100800
227774,201901,SS056,M,30대,5,77112
19749,201901,SS041,M,40대,10,80640
227265,201901,SS001,M,30대,5,110880
229164,201901,SS044,M,30대,5,1512
224090,201901,SS042,F,40대,10,85680
215017,201901,SS066,M,30대,30,2299344
253573,201901,SS049,F,60대,10,126302
154520,201901,SS049,F,60대,5,251496
361621,201901,SS038,F,50대,5,5758200
413282,201901,SS053,F,30대,10,22176
232217,201901,SS058,M,30대,20,64512
24300,201901,SS006,F,40대,10,212184
216823,201901,SS001,F,20대,71,777168
22340,201901,SS001,M,50대,66,692748
418777,201901,SS058,F,50대,25,696528
228050,201901,SS042,M,30대,10,95760
191212,201901,SS058,M,30대,10,64008
354467,201901,SS008,F,50대,15,60984
9548,201901,SS032,F,30대,5,1097712
23077,201901,SS001,F,30대,5,131040
17182,201901,SS055,M,30대,5,26208
327949,201901,SS068,F,30대,20,1376928
220255,201901,SS004,M,50대,15,367920
9853,201901,SS058,M,20대,15,93240
222461,201901,SS058,M,30대,30,172872
158255,201901,SS030,M,10대,5,10080
355224,201901,SS047,M,40대,40,693101
213026,201901,SS030,M,20대,5,10080
124162,201901,SS028,M,40대,5,40320
154519,201901,SS001,M,40대,66,2630376
212628,201901,SS021,M,50대,5,75600
216601,201901,SS042,M,40대,5,22680
228966,201901,SS043,M,50대,5,201096
152094,201901,SS015,M,20대,5,71568
22270,201901,SS022,M,30대,10,120960
53995,201901,SS018,F,50대,10,537768
212812,201901,SS063,F,40대,5,61921440
17349,201901,SS005,M,40대,86,775303
228030,201901,SS017,M,60대,71,1071000
10668,201901,SS064,F,30대,30,79632
232161,201901,SS013,F,20대,5,15120
364120,201901,SS046,F,60대,5,25200
16770,201901,SS012,F,30대,50,1487808
154508,201901,SS005,M,70대이상,25,330120
13922,201901,SS034,M,20대,5,45360
214421,201901,SS041,M,40대,5,60480
20171,201901,SS007,F,50대,5,10080
215449,201901,SS020,F,30대,20,184262
153944,201901,SS016,M,30대,348,2173752
18769,201901,SS048,F,60대,5,171662
203945,201901,SS031,M,40대,15,433440
229662,201901,SS018,M,50대,35,347256
223565,201901,SS009,F,20대,10,30240
282027,201901,SS003,M,40대,20,249278
268923,201901,SS001,M,40대,45,637056
16314,201901,SS066,F,40대,15,756000
21829,201901,SS003,M,20대,10,105336
363785,201901,SS043,M,40대,5,45360
361542,201901,SS007,M,30대,45,715680
357111,201901,SS055,F,20대,10,53424
186881,201901,SS008,F,50대,5,17640
223052,201901,SS001,M,40대,121,3595536
179280,201901,SS042,F,30대,5,30240
343496,201901,SS015,F,30대,5,105487
219306,201901,SS020,M,70대이상,5,75600
28087,201901,SS001,M,40대,136,5958288
355209,201901,SS008,M,50대,25,818496
199982,201901,SS003,M,60대,20,1546272
282383,201901,SS020,F,60대,25,1374156
419416,201901,SS001,M,40대,55,535752
414927,201901,SS033,M,60대,5,383040
356444,201901,SS020,F,40대,10,327600
157843,201901,SS021,M,30대,20,231840
20434,201901,SS069,M,60대,30,984816
23376,201901,SS001,M,50대,197,4317768
219256,201901,SS017,F,60대,5,1137175
53995,201901,SS022,F,10대,5,15120
13504,201901,SS065,M,40대,5,105840
158475,201901,SS005,F,20대,146,1075082
24349,201901,SS014,F,60대,20,110124
1696,201901,SS048,F,40대,25,1134554
208929,201901,SS053,M,50대,5,8064
211479,201901,SS016,M,30대,71,378252
20803,201901,SS012,F,30대,10,1158696
22037,201901,SS013,F,50대,192,2744482
208039,201901,SS016,M,60대,35,224280
353985,201901,SS023,F,50대,5,100800
231087,201901,SS039,F,50대,10,1216545
362031,201901,SS001,M,10대,5,60480
214352,201901,SS062,M,40대,5,574560
207583,201901,SS036,M,30대,5,201600
9798,201901,SS001,M,20대,15,917280
210674,201901,SS057,F,30대,10,10080000
153493,201901,SS006,M,40대,15,99288
18217,201901,SS013,F,70대이상,30,857606
14566,201901,SS019,F,40대,5,16632
365285,201901,SS068,M,40대,25,288187
210338,201901,SS040,M,20대,5,18144
360937,201901,SS020,F,50대,5,37800
207925,201901,SS021,F,40대,5,10584
24619,201901,SS013,F,50대,45,516953
415622,201901,SS003,F,30대,5,153720
230287,201901,SS002,F,20대,20,372960
154310,201901,SS017,F,60대,202,15262133
316854,201901,SS008,F,40대,55,553392
208902,201901,SS001,F,30대,161,5340384
210622,201901,SS010,M,30대,5,1260000
410460,201901,SS040,M,50대,20,601776
17659,201901,SS048,M,40대,71,4533026
15102,201901,SS065,M,50대,5,126000
230006,201901,SS044,F,30대,5,251496
25305,201901,SS036,M,50대,5,201600
152047,201901,SS015,F,20대,5,9072
9060,201901,SS033,M,20대,5,98280
334463,201901,SS041,M,50대,5,75600
213988,201901,SS082,F,60대,5,120960
158098,201901,SS008,F,20대,91,1080072
24284,201901,SS005,M,40대,40,807660
209371,201901,SS032,M,20대,20,419832
22825,201901,SS055,M,40대,5,62446
142573,201901,SS068,M,20대,20,209785
24633,201901,SS014,F,30대,5,17640
18202,201901,SS012,F,20대,5,29232
116659,201901,SS082,M,50대,5,403200
420482,201901,SS028,F,50대,5,47880
33901,201901,SS020,F,30대,5,52315
213237,201901,SS058,F,30대,5,17136
16740,201901,SS068,F,30대,76,5941938
224576,201901,SS033,M,40대,5,166320
207541,201901,SS024,M,50대,5,393120
274187,201901,SS053,M,50대,5,17640
156693,201901,SS017,F,40대,50,1548036
20728,201901,SS060,F,60대,5,30240
13143,201901,SS004,F,30대,25,482328
231388,201901,SS043,M,20대,5,80640
10871,201901,SS024,M,70대이상,5,352800
231649,201901,SS015,M,40대,5,75600
416730,201901,SS055,F,50대,25,141120
282885,201901,SS066,M,60대,10,478800
214161,201901,SS017,F,40대,25,1921097
336000,201901,SS012,F,40대,227,25686012
17487,201901,SS016,F,60대,5,124488
228337,201901,SS018,F,20대,5,45360
417582,201901,SS007,M,30대,5,49896
353489,201901,SS013,M,10대,10,175392
166426,201901,SS008,F,60대,10,87192
352680,201901,SS001,F,40대,76,2087064
20035,201901,SS041,M,30대,5,71820
350560,201901,SS017,F,30대,10,834574
232303,201901,SS068,M,20대,5,969192
23316,201901,SS013,M,30대,15,210571
416830,201901,SS064,M,40대,15,2561913
354599,201901,SS058,F,30대,71,635947
164405,201901,SS006,M,60대,5,31752
353630,201901,SS013,F,20대,60,602633
19338,201901,SS062,F,50대,5,1814400
154199,201901,SS017,M,40대,15,297713
32177,201901,SS019,M,40대,126,22069051
217641,201901,SS048,F,40대,15,786694
30762,201901,SS043,F,20대,10,276696
361233,201901,SS006,F,30대,40,187488
220301,201901,SS054,F,30대,10,166320
18056,201901,SS066,M,30대,45,2724972
271187,201901,SS031,F,20대,5,12096
12859,201901,SS066,M,60대,20,1068480
18477,201901,SS009,M,20대,10,60480
411790,201901,SS064,F,40대,15,54936
154614,201901,SS053,F,20대,5,12600
19735,201901,SS046,M,20대,10,501480
419303,201901,SS068,F,40대,151,8233369
410666,201901,SS020,F,50대,10,171360
365853,201901,SS021,F,20대,5,95760
235430,201901,SS015,F,50대,5,40320
217236,201901,SS064,M,40대,10,66528
283290,201901,SS030,M,10대,55,155736
189132,201901,SS033,F,20대,10,206640
214646,201901,SS001,F,50대,15,544320
363899,201901,SS031,M,30대,5,42840
34481,201901,SS070,M,50대,10,931896
271175,201901,SS001,M,20대,5,27720
355677,201901,SS012,M,20대,10,150696
91545,201901,SS008,M,20대,197,2447928
13530,201901,SS056,M,40대,5,127512
415261,201901,SS029,M,40대,20,246960
211607,201901,SS031,F,30대,20,224482
353760,201901,SS016,M,20대,202,881294
