가맹점주소광역시도(SIDO),가맹점주소시군구(SGG),업종대분류(UPJONG_CLASS1),기준일자(YMD),고객주소집계구별(TOT_REG_CD),카드이용금액계(AMT_CORR),카드이용건수계(USECT_CORR)
서울,서초구,의료,20190107,1112073020006,114912,15
경기,안양시,요식유흥,20190122,1120056010010,117936,15
서울,서대문구,의료,20190117,1113071020102,326743,35
서울,마포구,유통,20190102,1108071040110,33768,5
서울,강남구,유통,20190108,1118057010001,63000,15
서울,동대문구,유통,20190130,1108084010004,70560,10
경기,성남시,여행교통,20190101,1124067020002,201600,5
서울,금천구,요식유흥,20190119,1114059010101,52920,5
서울,서대문구,요식유흥,20190112,1115064010003,33768,5
서울,종로구,교육학원,20190107,1111059020110,36288,5
서울,용산구,유통,20190108,1110051030004,15775,10
경기,성남시,전자상거래,20190104,1120073040302,567000,10
서울,성동구,여행교통,20190130,1102065020011,5040,5
경기,남양주시,유통,20190114,1110065010216,189756,5
대전,,여행교통,20190125,1108081030003,49392,10
서울,동작구,주유,20190108,1120073010301,252000,5
서울,광진구,요식유흥,20190128,1109069020007,40320,5
서울,서초구,의료,20190110,1105055010009,81648,10
서울,광진구,가전가구,20190123,1107057010008,90720,5
서울,동작구,여행교통,20190118,1116064050001,208656,25
서울,구로구,요식유흥,20190117,1118052020005,695016,15
서울,강서구,스포츠문화레저,20190117,1116067010004,61992,15
서울,서대문구,미용,20190130,1112066030301,246960,5
서울,서초구,의료,20190124,1122057030204,998827,45
서울,중구,전자상거래,20190114,1107060030011,820814,15
서울,강서구,요식유흥,20190119,1108066050104,383040,5
서울,송파구,스포츠문화레저,20190126,1124064010025,143640,15
서울,영등포구,요식유흥,20190102,1119073060102,1275170,91
서울,서초구,유통,20190117,1119071020003,31651,10
서울,서초구,가전가구,20190107,1123053040003,215359,5
서울,영등포구,의료,20190119,1117070010013,651823,10
서울,노원구,자동차,20190114,1110062040104,252000,5
서울,마포구,음식료품,20190126,1119056020301,90720,10
울산,,요식유흥,20190106,1121052020201,148831,5
경기,안양시,의료,20190115,1117064010018,88704,5
서울,종로구,의료,20190103,1114073030007,525722,15
서울,금천구,요식유흥,20190116,1118057010020,718704,71
서울,성북구,스포츠문화레저,20190112,1102059060002,15120,5
경기,성남시,가정생활서비스,20190111,1112059050008,1665317,55
서울,강남구,요식유흥,20190102,1116073030025,30240,5
경기,하남시,의류잡화,20190120,1124067011308,200088,10
서울,중랑구,요식유흥,20190108,1105058010005,388080,5
경기,부천시,주유,20190127,1117056020005,282240,5
서울,성동구,유통,20190113,1122053013101,7560,5
서울,서대문구,요식유흥,20190107,1113066010202,1247400,71
서울,영등포구,유통,20190130,1117054040008,389441,60
서울,강남구,요식유흥,20190131,1123076030501,729792,45
