DEVICEID,DEVICENAME,DESCRIPTION,STARTTIME,ENDTIME,INCOUNT,OUTCOUNT
2.0,계동길 69,계동교회 앞,2022-11-30 21:10:41,2022-11-30 21:20:41,9386.0,13749.0
1.0,율곡로3길 50,덕성여고 앞,2022-11-30 21:10:41,2022-11-30 21:20:41,7903.0,5279.0
2.0,계동길 69,계동교회 앞,2022-11-30 21:20:41,2022-11-30 21:30:41,9398.0,13776.0
1.0,율곡로3길 50,덕성여고 앞,2022-11-30 21:20:41,2022-11-30 21:30:41,7927.0,5312.0
2.0,계동길 69,계동교회 앞,2022-11-30 21:30:41,2022-11-30 21:40:41,9414.0,13800.0
1.0,율곡로3길 50,덕성여고 앞,2022-11-30 21:30:41,2022-11-30 21:40:41,7977.0,5347.0
2.0,계동길 69,계동교회 앞,2022-11-30 23:00:41,2022-11-30 23:10:41,9625.0,14105.0
2.0,계동길 69,계동교회 앞,2022-11-30 21:40:41,2022-11-30 21:50:41,9441.0,13852.0
1.0,율곡로3길 50,덕성여고 앞,2022-11-30 21:40:41,2022-11-30 21:50:41,7993.0,5376.0
1.0,율곡로3길 50,덕성여고 앞,2022-11-30 23:00:41,2022-11-30 23:10:41,8167.0,5555.0
2.0,계동길 69,계동교회 앞,2022-11-30 21:50:41,2022-11-30 22:00:41,9464.0,13870.0
1.0,율곡로3길 50,덕성여고 앞,2022-11-30 21:50:41,2022-11-30 22:00:41,8009.0,5383.0
2.0,계동길 69,계동교회 앞,2022-11-30 22:00:41,2022-11-30 22:10:41,9488.0,13900.0
1.0,율곡로3길 50,덕성여고 앞,2022-11-30 22:00:41,2022-11-30 22:10:41,8050.0,5411.0
2.0,계동길 69,계동교회 앞,2022-11-30 22:10:41,2022-11-30 22:20:41,9510.0,13946.0
1.0,율곡로3길 50,덕성여고 앞,2022-11-30 22:10:41,2022-11-30 22:20:41,8073.0,5474.0
2.0,계동길 69,계동교회 앞,2022-11-30 23:10:41,2022-11-30 23:20:41,9636.0,14145.0
2.0,계동길 69,계동교회 앞,2022-11-30 22:20:41,2022-11-30 22:30:41,9541.0,13962.0
1.0,율곡로3길 50,덕성여고 앞,2022-11-30 22:20:41,2022-11-30 22:30:41,8122.0,5503.0
1.0,율곡로3길 50,덕성여고 앞,2022-11-30 23:10:41,2022-11-30 23:20:41,8180.0,5576.0
2.0,계동길 69,계동교회 앞,2022-11-30 22:30:41,2022-11-30 22:40:41,9585.0,13999.0
1.0,율곡로3길 50,덕성여고 앞,2022-11-30 22:30:41,2022-11-30 22:40:41,8147.0,5527.0
2.0,계동길 69,계동교회 앞,2022-11-30 22:40:41,2022-11-30 22:50:41,9596.0,14035.0
1.0,율곡로3길 50,덕성여고 앞,2022-11-30 22:40:41,2022-11-30 22:50:41,8160.0,5539.0
2.0,계동길 69,계동교회 앞,2022-11-30 23:20:41,2022-11-30 23:30:41,9658.0,14167.0
1.0,율곡로3길 50,덕성여고 앞,2022-11-30 23:20:41,2022-11-30 23:30:41,8201.0,5606.0
2.0,계동길 69,계동교회 앞,2022-11-30 22:50:41,2022-11-30 23:00:41,9614.0,14091.0
1.0,율곡로3길 50,덕성여고 앞,2022-11-30 22:50:41,2022-11-30 23:00:41,8160.0,5553.0
2.0,계동길 69,계동교회 앞,2023-01-01 00:00:41,2023-01-01 00:10:41,0.0,7.0
2.0,계동길 69,계동교회 앞,2022-12-02 11:30:42,2022-12-02 11:40:42,3193.0,4279.0
2.0,계동길 69,계동교회 앞,2023-01-01 00:10:42,2023-01-01 00:20:41,0.0,11.0
1.0,율곡로3길 50,덕성여고 앞,2023-01-03 00:00:39,2023-01-03 00:10:40,16.0,0.0
1.0,율곡로3길 50,덕성여고 앞,2023-01-03 00:10:40,2023-01-03 00:20:39,16.0,0.0
2.0,계동길 69,계동교회 앞,2022-11-30 23:30:41,2022-11-30 23:40:41,9667.0,14188.0
1.0,율곡로3길 50,덕성여고 앞,2022-11-30 23:30:41,2022-11-30 23:40:41,8211.0,5624.0
2.0,계동길 69,계동교회 앞,2023-01-21 00:00:42,2023-01-21 00:10:42,5.0,0.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-02 11:30:42,2022-12-02 11:40:42,2375.0,687.0
2.0,계동길 69,계동교회 앞,2022-11-30 23:40:41,2022-11-30 23:50:41,9675.0,14208.0
1.0,율곡로3길 50,덕성여고 앞,2022-11-30 23:40:41,2022-11-30 23:50:41,8211.0,5624.0
2.0,계동길 69,계동교회 앞,2022-12-03 12:00:40,2022-12-03 12:10:40,5827.0,7344.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-03 12:00:40,2022-12-03 12:10:41,1443.0,642.0
2.0,계동길 69,계동교회 앞,2023-01-30 00:00:40,2023-01-30 00:10:41,8.0,0.0
2.0,계동길 69,계동교회 앞,2022-12-01 00:00:40,2022-12-01 00:10:41,69.0,69.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 00:00:40,2022-12-01 00:10:41,29.0,12.0
2.0,계동길 69,계동교회 앞,2022-12-02 11:40:42,2022-12-02 11:50:42,3490.0,4569.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-02 11:40:42,2022-12-02 11:50:42,2476.0,707.0
2.0,계동길 69,계동교회 앞,2022-12-01 00:10:41,2022-12-01 00:20:40,124.0,112.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 00:10:41,2022-12-01 00:20:40,30.0,15.0
2.0,계동길 69,계동교회 앞,2022-12-04 06:00:41,2022-12-04 06:10:41,107.0,298.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-04 06:00:41,2022-12-04 06:10:41,177.0,129.0
2.0,계동길 69,계동교회 앞,2022-12-01 00:20:40,2022-12-01 00:30:40,161.0,162.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 00:20:40,2022-12-01 00:30:40,44.0,23.0
2.0,계동길 69,계동교회 앞,2022-12-02 11:50:42,2022-12-02 12:00:42,3781.0,4852.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-02 11:50:42,2022-12-02 12:00:42,2574.0,741.0
2.0,계동길 69,계동교회 앞,2022-12-01 00:30:40,2022-12-01 00:40:40,183.0,194.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 00:30:40,2022-12-01 00:40:40,67.0,33.0
2.0,계동길 69,계동교회 앞,2022-12-03 12:10:41,2022-12-03 12:20:41,5857.0,7375.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-03 12:10:41,2022-12-03 12:20:41,1494.0,695.0
2.0,계동길 69,계동교회 앞,2022-12-01 00:40:40,2022-12-01 00:50:40,212.0,288.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 00:40:40,2022-12-01 00:50:40,77.0,35.0
2.0,계동길 69,계동교회 앞,2022-12-02 12:00:42,2022-12-02 12:10:42,4091.0,5161.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-02 12:00:42,2022-12-02 12:10:42,2667.0,766.0
2.0,계동길 69,계동교회 앞,2022-12-01 00:50:40,2022-12-01 01:00:40,234.0,315.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 00:50:40,2022-12-01 01:00:40,77.0,36.0
2.0,계동길 69,계동교회 앞,2022-12-04 20:30:42,2022-12-04 20:40:42,4706.0,7544.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-04 20:30:42,2022-12-04 20:40:42,3012.0,4759.0
2.0,계동길 69,계동교회 앞,2022-12-01 01:00:40,2022-12-01 01:10:40,243.0,331.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 01:00:40,2022-12-01 01:10:40,85.0,36.0
2.0,계동길 69,계동교회 앞,2022-12-02 12:10:42,2022-12-02 12:20:42,4325.0,5420.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-02 12:10:42,2022-12-02 12:20:42,2772.0,829.0
2.0,계동길 69,계동교회 앞,2022-12-03 12:20:41,2022-12-03 12:30:41,5893.0,7419.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-03 12:20:41,2022-12-03 12:30:41,1548.0,745.0
2.0,계동길 69,계동교회 앞,2022-12-01 01:10:40,2022-12-01 01:20:40,252.0,364.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 01:10:40,2022-12-01 01:20:40,96.0,36.0
2.0,계동길 69,계동교회 앞,2022-12-02 12:20:42,2022-12-02 12:30:42,4591.0,5802.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-02 12:20:42,2022-12-02 12:30:42,2876.0,875.0
2.0,계동길 69,계동교회 앞,2022-12-01 01:20:40,2022-12-01 01:30:40,258.0,390.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 01:20:40,2022-12-01 01:30:40,104.0,37.0
2.0,계동길 69,계동교회 앞,2022-12-04 06:10:41,2022-12-04 06:20:41,109.0,310.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-04 06:10:41,2022-12-04 06:20:41,177.0,129.0
2.0,계동길 69,계동교회 앞,2022-12-01 01:30:40,2022-12-01 01:40:40,261.0,409.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 01:30:40,2022-12-01 01:40:40,104.0,37.0
2.0,계동길 69,계동교회 앞,2022-12-02 12:30:42,2022-12-02 12:40:42,4844.0,6085.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-02 12:30:42,2022-12-02 12:40:42,3010.0,948.0
2.0,계동길 69,계동교회 앞,2022-12-01 01:40:40,2022-12-01 01:50:40,264.0,428.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 01:40:40,2022-12-01 01:50:40,104.0,39.0
2.0,계동길 69,계동교회 앞,2022-12-03 12:30:41,2022-12-03 12:40:41,5935.0,7461.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-03 12:30:41,2022-12-03 12:40:41,1615.0,789.0
2.0,계동길 69,계동교회 앞,2022-12-01 01:50:40,2022-12-01 02:00:40,266.0,435.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 01:50:40,2022-12-01 02:00:40,104.0,41.0
2.0,계동길 69,계동교회 앞,2022-12-02 12:40:42,2022-12-02 12:50:42,5077.0,6392.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-02 12:40:42,2022-12-02 12:50:42,3092.0,1024.0
2.0,계동길 69,계동교회 앞,2022-12-05 08:10:40,2022-12-05 08:20:40,609.0,851.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-05 08:10:40,2022-12-05 08:20:40,1324.0,384.0
2.0,계동길 69,계동교회 앞,2022-12-05 18:50:41,2022-12-05 19:00:41,5060.0,7886.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-05 18:50:41,2022-12-05 19:00:41,6094.0,4470.0
2.0,계동길 69,계동교회 앞,2022-12-01 02:00:40,2022-12-01 02:10:40,267.0,449.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 02:00:40,2022-12-01 02:10:40,104.0,41.0
2.0,계동길 69,계동교회 앞,2022-12-02 12:50:42,2022-12-02 13:00:42,5328.0,6733.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-02 12:50:42,2022-12-02 13:00:42,3199.0,1134.0
2.0,계동길 69,계동교회 앞,2022-12-01 02:10:40,2022-12-01 02:20:40,271.0,465.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-01 02:10:40,2022-12-01 02:20:40,114.0,41.0
2.0,계동길 69,계동교회 앞,2022-12-03 12:40:41,2022-12-03 12:50:41,5962.0,7516.0
1.0,율곡로3길 50,덕성여고 앞,2022-12-03 12:40:41,2022-12-03 12:50:41,1708.0,879.0
2.0,계동길 69,계동교회 앞,2022-12-01 02:20:40,2022-12-01 02:30:40,275.0,477.0
